Memory,Date,Event,Tag,Image
"On the morning of June 10 2024, they reached the Chennai bus stand. As they were about to part ways, the hug Vita gave Zwan carried a weight of unspoken emotions and layered meanings. This is first time they hug, Vita hugging Zwan. She took a bus to Guindy, while Zwan booked an Uber to head straight to office. Later that morning, she messaged him to say she had reached her room by 11 a.m. The night before, she had surprised him with a KitKat for the very first time. On same day June 10 2024, that evening marked another first for them—their very first video call, and it lasted for over an hour, a new chapter opening softly after the journey they had just shared.",6/10/2024,First hug and first video call,Hug and video call,
"June 11 2024 was the day Vita began sending Zwan her daily vlogs—thoughtful, personal reflections that slowly became a cherished part of his routine. Zwan and Vita found themselve falling for each other—again and again in future episodes, as if each vlog was a quiet thread weaving them closer, even in silence.",6/11/2024,Vita's FirstVlog Ever,Vlog,
"June 12 2024, Sometimes, Zwan had also started sending Vita his tired yet cheerful vlogs while heading out to play football, sharing bits of his day just as she did. In return, Vita once screenshotted and sent him her Instagram feed — completely filled with saree wear collections.",6/12/2024,Zwan's FirstVlog Ever,Vlog,
"June 13 2024 Vita had sent Zwan countless Taylor Swift reels, each one wrapped in lyrics and emotion, nudging him gently into her world of music. She often asked him to listen to her favorite Taylor Swift songs—not just to share her taste, but with a playful dream in mind: that someday, they could go together to a Taylor Swift concert.",6/13/2024,Taylor Swift Song's,Taylor Swift,
"June 15 2024 Zwan had to return home the following weekend for Bakrid, and coincidentally, one of his Office colleagues—a girl from Gudalur—had asked if he could travel with her. Before agreeing, he checked with Vita, expecting their first real fight to break out. But to his surprise, she responded with a soft, slightly teasing line: “KNJM kashtam, but unga friend thane, so poyittu vasngall!!”(“A little tough, but she's your friend, so go and come back safely!”). Though she initially acted fine with the idea, her feelings shifted once Zwan was actually on the journey. She began feeling bad, called him midway, and even sent pictures of her irritated expressions. What she said in words didn’t match the ache in her heart—and Zwan could feel it. The weight of that hit him too. When the girl beside him dozed off and accidentally leaned on his shoulder, it unexpectedly reminded him of Vita, and he couldn’t sleep the entire journey. He managed only three hours of rest and later told Vita—not just to irritate her playfully, but also to express something he had come to realize: how deeply she liked him… and how much he was starting to care too.",6/15/2024,Zwan's Bakrid Journey,Zwan's Travel with another girl,
"On June 16 2024, Vita attended a reception with her friend Gayu, and from there, she sent Zwan two videos—one of which stood out vividly. It was her, dressed beautifully. It was the White Angel, the very image they had once playfully imagined and talked about during their late-night chats. She even sent him a few pictures on WhatsApp—the same ones that brought their ""White Angel"" story to life. ",6/16/2024,White Angel Photos,Whatsapp,
"On June 17 2024, the day of Bakrid, Zwan did something unusual—he created a vlog and sent all the photos and a video while en route to Ayyankolli, where he was visiting his grandparents. That same day, Vita had planned to order a watch for her sister, who was about to start college, and she had sent Zwan a list of options. Playfully, Zwan teased her saying, “Your sister's voice is more cute than yours.” He wasn’t sure if that was actually true—but he knew deep down, the only voice he preferred listening to now was Vita’s—the voice of his White Angel.",6/17/2024,Bakrid,Bakrid vlogs,
"On June 18 2024, Zwan traveled to Coimbatore to visit a friend and boarded a bus to Chennai later that evening from Coimbatore. During the journey, he and Vita had a video call. Later, when Zwan sat down to have his fried rice and chicken, Vita sent him a food vlog of her own—another simple but warm exchange that made their everyday routines feel a little more connected, a little more shared, no matter the miles between them.",6/18/2024,First Food Vlog,Vlog and  video call,
"On June 21 2024, Vita was leaving home that day to spend some time with her sister before she left for college the following month. As she packed her bags, she sent Zwan vlogs of the process, sharing those little pieces of her day. When she reached the bus stand, she called him, and he went to spend a few moments with her before departure. Earlier, Zwan had mentioned that his favorite chocolate used to be Milkybar, though he hadn’t eaten it in a long time. Remembering that, Vita surprised him with a Milkybar, a sweet and nostalgic gesture that instantly brought back old memories. In that small act, she made the moment feel truly special—because she was special too. Before leaving Vita had hugged Zwan for second time now. While travelling her playlist was Taylor Swift's songs, especially Love Story",6/21/2024,Second Hug,MilkyBar,
"On June 23 2024 After Vita reached home, there was heavy rain in our district. Paavam, her pet dog Paashaa, was clearly not having a great time with the weather. Despite that, Vita kept playfully disturbing Paashaa just to record and send a vlog of the day to Zwan. Though he had never been particularly fond of pet dogs before, her vlogs slowly started to change his mind—the way she interacted with Paashaa, the warmth in those moments. Without realizing it, Zwan too began to grow fond of that little pet, just as he had grown fond of the girl behind the camera.",6/23/2024,Paasha The Pet,Rain at home,
"June 24 2024 to June 27 2024,Vita took Zwan on a quiet journey through her childhood by sharing her baby pictures and snapshots from her college life, giving him a glimpse into the moments that shaped her. In return, Zwan shared his own baby photos, opening up his past in the same way. Among those memories, she also sent pictures with her cousin Ra, and Zwan, smiling at the coincidence, sent back a photo he had taken with Ra too—since Ra was his friend as well.",6/25/2024,Childhood Memories,Childhood Photos,
"On June 29 2024 to June 30 2024, Vita and her family traveled to Coimbatore for her sister’s college joining. Even during the trip, she didn’t forget to send Zwan vlogs while visiting the temple, dressed in traditional attire. The fun fact that stuck with Zwan was that, in the month of June alone, Vita had shared over 50 vlogs and pictures to him. Even when the people are around her at night she tries to message him silently.",6/29/2024,Vita's Sister's Admission,Coimbatore,
"On July 2 2024 Vita had send Zwan video of she dancing, for which Zwan added audio of bgm fromseries Wednesday.",7/2/2024,Vita's Dance,Wednesday,
July 03 2024 to July 10 2024 Each day morning Vita would go for a walk and pluck this flower and send it for Zwan ...!! The question is won’t a person like Zwan fall for this character ... haha !!,7/3/2024,Daily Flowers,Vita's Actions,
"On July 9 2024, Vita asked Zwan a simple but exciting question: “Do you wish to go for a trip?” His answer, without hesitation, was a clear yes. But as the conversation unfolded, he realized she was planning a foreign trip with her ex-colleagues, which made things a bit complicated for him. He gently expressed his concern—how would he explain who he was traveling with on a foreign trip? So he told her honestly that if it was an Indian trip, he’d be totally fine, but for a foreign one, he wasn't so sure. Despite the uncertainty, Zwan was genuinely happy and excited that she even considered traveling with him. It meant something. As a backup plan, they even made a sweet little promise: if no other trip worked out, they’d go on a solo trip to Pondicherry together—just the two of them, no complications, only memories waiting to be made.",7/9/2024,The Solo Trip,Trip Together,
"On July 11 2024, Zwan began his journey to Tiruppur to attend his friend’s wedding. After the celebration, he returned home Mayfield,Gudalur that same night. Earlier, Vita had planned to travel back to Chennai on Sunday, July 14, and they had both looked forward to traveling together again. But plans shifted—she was suddenly assigned on-call duty for that day and asked Zwan to return ahead without her. Yet, remembering how she had once adjusted her plans to travel with him last time, Zwan decided to do the same. Instead of leaving her behind, he applied for leave on Monday, July 15, just so they could still travel together",7/11/2024,Zwan's Home coming,Friend's Marriage,
"On July 12 2024 Vita booked the tickets to Chennai for both of them—but separately, haha. Zwan smiled at the little workaround, because if Vava (his dad) could come to drop him off, he might overhear the conductor mentioning their joint ticket. This time, they chose not to let their families know they were traveling together. The both was likely not one that would lead to an ending together as Vita is Hindu while Zwan is Muslim. They didn’t want their families to feel uncomfortable or misread what they themselves hadn’t fully defined.",7/12/2024,July Tickets Booked,Love,
"On July 13 2024 - One thing Zwan clearly understood from Vita’s vlogs was that after her sister left for college, she began to feel a bit lonely at home. These days, her vlogs mostly featured just her playing with their pet, Paashaa. Through each playful clip, Zwan could sense the subtle shift in her mood.",7/13/2024,Vita Home Alone,Paasha Love,
"On July 15 2024, Monday, it was pouring heavily when Zwan left for the Gudalur bus stand. Because of the rain, Vava didn’t come with him, so Zwan took an auto and reached the stop on his own. Vita arrived a bit later but made it just before the bus departed. She was visibly upset—drenched from the rain after rushing from her place. In the hurry, she hadn’t eaten properly, and since the bus started right after she arrived, she didn’t get time to buy snacks either—her snacks bag was completely empty. Their travel from Gudalur to Chennai started at 2:00 on that day. They both decided to wait until the bus reached Ooty to grab something. This time, Vita had already planned the entertainment—a romantic college series called Maxton Hall, which she had downloaded in advance. They started watching it once they left Ooty, and the first episode really hooked them both. They had hoped to binge-watch the whole series during the journey, but partway through the second episode, Zwan began to feel nauseous, so they paused it. Unlike the last trip, the bus this time was smooth and comfortable—no breakdowns, no chaos, just them. And even while watching the series, at some points, they had to close the screen discreetly, though it wasn’t as awkward as when they watched My Fault. Just like before, their hands found each other again, locked in a quiet, warm grip that spoke more than words. That night, since the bus had no issues after a long wait, Zwan and Vita were finally able to have their dinner at their favorite mess in Avinashi—chicken rice, kalki, and omelette. After their meal, they grabbed some cool drinks and boarded the bus again. What followed was a moment suspended between reality and quiet understanding.They began to talk, softly, about how they knew they couldn’t be together, at least not in the way life usually expects. Yet, even while acknowledging that, they chose to enjoy what they had in the present. As the bus rolled ahead into the night, Vita leaned on Zwan’s shoulder, their fingers intertwined, his arm around her. There was a stillness in the air, the kind that only comes before something deeply emotional unfolds. Then, without planning or even fully realizing how, they crossed the threshold between friendship and something more. It wasn’t dramatic—it was quiet, tender. In a moment of closeness, comfort, and unsaid words. They kissed, 2 kisses. Vita Kissed Zwan on July 15 2024 midnight and second kiss on July 16 2024 early morning.Arms locked, hearts unguarded, they simply lived the moment, knowing well it might never repeat—but also knowing they’d never forget it. Though Zwan and Vita had just shared one of their most beautiful and intimate moments together, he couldn’t help but tease her the very next day. A girl had taken the seat next to them, and Zwan jokingly pretended to flirt with the girl, just to irritate Vita—who, unsurprisingly, tried to stop him with that familiar mix of frustration and amusement.",7/15/2024,July Travel,Expressed by Actions,
"By early morning July 16 2024, around 6 to 6:30, they reached Chennai bus stand. As always, Vita took her handbag and went to the washroom, her usual stop for freshening up and doing a quick makeup touch-up. Zwan reflected on how he used to tease people for wearing makeup, but being with Vita had completely changed his perspective. He now saw beauty in those little rituals—how she did it not for vanity, but for confidence, for joy, for herself. Before parting ways, they shared a hug that carried more than just warmth—it held emotions, memories, and a quiet sadness that came with knowing this moment was now in the past and they really doesn't have a future together. The hug was a secure hug fir her. She felt safe in that hug. With a few tears hidden behind smiles, they walked in opposite directions, hearts full, already thinking about their next meeting in Chennai.",7/16/2024,Third hug,Expressed by Actions,
"After reaching her room on July 16, 2024, following their heartfelt journey, Vita began watching Maxton Hall—the series they had started together on the bus. She ended up completing the entire series that day and was so emotionally affected by it that she messaged Zwan and even cried on their video call, telling him how deeply it resonated with their story.She said certain moments in the series felt strikingly similar to what they were going through—a reflection of unspoken feelings, complex closeness, and a love that might never fully become real. So moved, she even shared her Amazon Prime credentials with Zwan, insisting he must watch it from start to finish and share his thoughts with her. It wasn’t just a show—it had become an emotional mirror for both of them.",7/16/2024,Maxton Hall,Emotion,
"On July 17, 2024, something subtly meaningful unfolded. Vita, who usually posted her photos on Instagram without much tagging, tagged Zwan in one of her stories—not just in the photo, but specifically for the music and lyrics she chose for it. Zwan admitted he was initially scared to repost the story, worried it might be too public or revealing. But Vita casually reassured him: “You can repost, or do anything with it—it’s not a problem.” In that moment, Zwan realized that Vita truly liked him deeply. She had begun associating many of her favorite English song lyrics with their shared moments. Zwan couldn’t help but wonder—had she grown too emotionally attached? Would this one-sided reality hurt her eventually? Yet, writing this in retrospect, he felt relieved knowing she seemed to be doing okay now. That day, Vita was also cleaning her wardrobe, and she vlogged it all to Zwan, saying it was too difficult—especially her makeup section, which was a mess after being untouched for weeks since she’d left home. Zwan, more than watching the vlog, found himself falling even harder for her voice, expressions, and the way she shared her little world with him. Her vlogs didn’t just show her day—they made Zwan feel special in a way no one had before.",7/17/2024,Story Tag,Song Lyrics,
"From July 17, 2024, daily video calls became a routine between Zwan and Vita. Even though Zwan had warned her gently about the risks of growing emotionally attached by talking so frequently, Vita didn’t care at that moment. All she wanted was to talk to him, to be with him in those moments—fully, sincerely, and presently. There were times she would cry, overwhelmed by the thought that they could never truly be together, or that these long video calls and heartfelt conversations might not last forever.",7/17/2024,Video Call Routine,Video Call,
"On July 18, 2024, Zwan had completed watching the series Maxton Hall, the one Vita had emotionally asked him to watch. Meanwhile, they had already made plans to meet on Saturday, July 20, at Forum Mall and had booked tickets for the movie Kalki. That evening, Vita was out with her school friends who had come to Chennai for a get-together. She mentioned she'd call after reaching back to her room. Before heading out, though, she made time for a quick video call around 7 PM, but ended up reaching back only around 1:00 AM. Understanding her delay, she sent Zwan a vlog, apologizing for not being able to call and promising to talk the next day. She had clearly enjoyed the evening and was particularly fond of her friend’s pet dog, clicking plenty of pictures and videos with it—Zwan knew how much she adored such moments.One recurring thing Zwan often pointed out to Vita—playfully, but sincerely—was her habit of frequent online shopping and ordering food. Almost every other call would reveal some new courier delivery or Zomato order. Though he did the same occasionally, Vita’s rate outpaced his, and as someone who cared, he always reminded her to try spending a little less. She would even vlog those small moments, unboxing her items or showing him the new deliveries, and in those little digital windows, Zwan found himself cherishing her quirks more and more each day.",7/18/2024,July Chennai meet Plan,Online shopping,
"On July 19, 2024, Vita had surprisingly woken up very early at 5:45 AM, something quite unlike her. When Zwan asked her about it, she said she'd had a disturbing dream involving an elephant from her hometown, which had jolted her awake. Concerned, she immediately called her father to check if everything was alright, and only then did she feel relieved. That same day, Zwan wore a semi-formal shirt and pants to office, which was unusual for him. He took pictures and shared them with Vita. Later, he planned to post those pictures on Instagram, and it was Vita who searched for the perfect background song to match the vibe of the post. Coincidentally, she also shared an old picture of herself that day, where she was wearing a similar outfit—white shirt and formal pants—as if mirroring him unintentionally. These parallel moments between them—early morning calls, synced outfits, shared creativity for posts—reflected how deeply woven they had become into each other's daily lives, often in small but touching ways.",7/19/2024,Posting Photo Together,Instagram,
"On July 20, 2024, the day began with a video call between Zwan and Vita, during which she sent him a cute picture. As Zwan reflects while writing, he realizes their chats from then were filled with reels they had shared, especially related to Taylor Swift’s love story and other romantic moments. After the call, they both got ready to meet. They had planned to meet at Guindy Metro Station and travel together to Forum Mall, Vadapalani as Vita hadn’t used the Metro in a long time. Zwan was ready by 10:30 AM and reached the local railway station. During this time, Vita video called again and stayed on the call while he waited for the train. She was still getting ready—doing her makeup and packing her bag on camera—and Zwan recalls how special she made him feel in such everyday moments. They met as planned and traveled together to the mall, reaching around 1 PM, just in time for lunch. They ordered food from KFC, had chicken and cold drinks. Zwan notes how Vita was on her period that day, and though he suggested postponing the meet, she was adamant about seeing him. The funniest part? Despite being on her periods, she still wanted fast food. She always did what she liked and never held back her words—and that, Zwan realized, was one of the qualities he cherished most about her.",7/20/2024,July Chennai Meet,Kalki Movie,
"On July 20, 2024, after lunch at KFC, Zwan and Vita spent time strolling through Forum Mall, clicking numerous photos together and of each other. Among all their pictures, Zwan considers the ones taken that day his absolute favorites—especially because of the warmth and vibe they captured. Their booked movie, Kalki, began at 3:30 PM, and both enjoyed it thoroughly. Post-movie, while continuing to roam around the mall, they stepped into a bookshop. There, Zwan found and gifted Vita the novel It Ends With Us—his most beloved romantic book. He had always wanted her to read it. After exiting the mall, they decided to skip dinner and caught the Metro to Guindy. Zwan recalls that the photo they took inside the Metro became another favorite memory from that day. He then dropped Vita at her PG , Pink Elites in Porur, with a beautiful hug Zwan headed to the local railway station. Even after parting ways, the connection lingered. Vita video called Zwan after finishing her routine family calls, while he reached Tambaram. Later, by 11 PM, once he reached his office, they had another video call before sleeping. It truly was a beautiful day—filled with memories, laughter, thoughtful gifts, and a closeness that neither of them would forget.",7/20/2024,July Chennai Meet,Hug,
"On July 21, 2024, after Zwan returned to his room in the morning and finished washing his clothes, he and Vita—both free on a relaxed Sunday—got on a video call. In between, Zwan received a call from his school crush who wanted help with a job application. After the brief interruption, he rejoined Vita on the call. What followed was a marathon video call that lasted more than six hours. They spoke about everything—from childhood memories, school days, to the moment they first met on the bus. It was a heartfelt, deep conversation that flowed effortlessly between two people emotionally close. What made the day even more special was that Vita skipped her lunch just to continue the conversation. Zwan couldn’t help but think—isn’t this the kind of moment anyone would fall for? Someone who chooses connection over comfort. For Zwan, it was one of those rare, ""aww"" moments that define something truly special.",7/21/2024,The Longest Video Call,6 hours video call,
"On July 22, 2024, Zwan and Vita were together again, and during their time, Vita received a call from her ex-colleague John, who was reaching out to help her with income tax filing. He had asked to meet in person, but Vita was uncomfortable with the idea. She shared with Zwan that during a past movie outing, John had crossed a boundary by putting his arm around her without consent, which left her with a negative impression. Instead of meeting John, Vita and Zwan sat together and completed the IT filing themselves and simply informed John once it was done. Later, while listening to Taylor Swift’s “Love Story”, a favorite of Vita’s, she playfully offered the lyrics to Zwan and even sang parts of it, sending him a video. It was one of those adorably endearing acts that Zwan cherished deeply—moments that made him feel how incredibly lucky someone would be to have Vita as a partner. After Vita had mentioned her past discomfort with John, Zwan couldn’t help but ask her a question that had been quietly lingering in his mind. He gently asked whether she had ever felt anything uncomfortable or inappropriate during their moments together — especially considering the closeness they had recently shared. Vita, with her usual honesty and warmth, assured him that she had never felt anything bad in their time together. Her words were sincere and comforting. That moment meant a lot to Zwan. It reaffirmed that what they shared wasn’t just mutual respect, but something deeply genuine and emotionally safe. Once again, Zwan understood — she truly liked him a lot.",7/22/2024,IT Filing,Love Story Lyrics,
"On July 23, 2024, during one of their usual video calls, Vita did something unexpectedly sweet. While talking, she took several screenshots of Zwan’s candid expressions, carefully captured during their conversation. Later, she collaged those images into a short video and added an English song with lyrics, ""You and me Belong together, cold ice tea and warm wheather ..."" that she felt closely reflected their bond. When Vita sent the video to Zwan, he couldn’t stop blushing. The way she had noticed and preserved his little expressions made him feel deeply seen and cherished. Watching that video, Zwan said he even began to fall in love with himself — through her eyes.",7/23/2024,Video Call Screenshots,Belong Together,
"On July 24, 2024, Zwan and Vita had naturally shifted much of their messaging to WhatsApp instead of Instagram, especially since their daily video calls had become a part of their routine. That day, Vita shared something personal—a list of the email IDs she used to store her photos and videos.Two of those email IDs ended with 3120 and 2031, and Zwan immediately caught the significance. “31” was Vita’s birthdate, and “20” belonged to her close school friend’s birthdate. Though she no longer kept in close contact with her school friends, the fact that she had memorialized those dates in her email IDs made Zwan feel something quietly profound. It showed him how deeply she once cherished her connections—and it made him feel even more special to now be part of her present. It was a small discovery, but it left a warm imprint.",7/24/2024,Email 3120 and 2031,Email Story,
"On July 25, 2024, Zwan reinstalled Snapchat after a long time, just to connect with Vita in a more casual, private way. They began using Snapchat for their long video calls, partly because it didn’t log messages or call history, making it feel more spontaneous and unfiltered. For a few days, they even kept a Snapchat streak going, something light and fun between them. But eventually, the streak ended.",7/25/2024,Snapchat,Snapchat Installed,
"By July 26, 2024, Vita had been consistently sharing vlogs and photos of her day-to-day life, the kind of sweet, personal moments that Zwan treasured deeply. He had even created a special folder in his gallery titled “Buddy” just to store all of these. One particularly funny memory stood out. On the day they were filing her IT returns, Vita's phone died due to low battery. But they didn’t let that stop them. Instead, they switched to Google Meet to continue their video call. It was so unexpected and quirky, Zwan couldn’t help but laugh even thinking about it later. That’s what made their bond so unique—finding ways to stay connected, even in the smallest, most improvised moments.",7/26/2024,Folder Buddy,Staying Connected,
"On July 27, 2024, Vita left for Coimbatore to visit her sister Thangamani. The night before, she had asked Zwan to be her alarm for the morning, so he called and woke her up. They even had a video call before she left around 6:00 AM. As expected, she fell asleep on the bus, and later around 10:00 AM, she called Zwan again after he woke up from his second round of sleep. During her travel, Vita began reading the book It Ends With Us, the one Zwan had gifted her. She sent him a vlog from the bus, as always, turning her journey into yet another shared experience. Zwan joked to himself that she had unofficially become his personal daily-life blogger, food blogger, makeup blogger—and now, even a travel blogger. After reaching Coimbatore, she picked up her sister from the hostel and went to their cousins' home, where they spent Sunday together, enjoying time with family. Then, on July 28 2024(Sunday evening), as she boarded the bus back to Chennai, she finally video called Zwan after 24 hours of no calls or messages—a gap that felt long for the both of them. That call, after a day of silence, felt extra special.",7/27/2024,Vita's Coimbatore travel,No calls for a day,
"Around the end of July 2024, Zwan and Vita had a playful and subtle moment of connection—they both posted photos on Instagram at the same time, and it was Vita who chose the music for Zwan’s post. It was a small gesture, but it carried a quiet intimacy that only the two of them understood. During this period, Vita also opened up about some practical struggles she was facing. She mentioned an issue with her ex-hostel manager, who had still not returned her advance payment, which was understandably frustrating. On top of that, she was now dealing with high electricity charges in her current room—despite barely using power-heavy appliances. Zwan listened patiently, offering empathy and support, knowing that even these seemingly ordinary concerns were pieces of her daily life she chose to share with him—and that meant everything.",7/29/2024,Vita's Ex hostel balance,Photos,
"On July 30, 2024, Zwan experienced what he felt was the peak of Vita’s affection toward him. She had created and sent him a video montage made up of their shared frames, beautifully set to the emotional lyrics of the song “Dhanamum Un Nenappu Baby.” At first glance, it might have seemed like just a sweet video. But for Zwan, it meant so much more—it was a pure, heartfelt gesture from someone who genuinely liked him. He told her, half-blushing, half-serious, that his feelings for her only deepened when she did things like this. But amid the sweetness, there was also a tinge of worry in Zwan. He confessed that he was afraid—afraid she might get hurt, that she was becoming too attached to the idea of them. Vita’s response, however, was calm and composed. She told him that she wouldn’t be hurt unless she expected something from him, and at that moment, she wasn’t expecting anything. She reassured him that even if things didn’t work out, she would be okay—she would move on without pain. That day showed Zwan not just how much Vita liked him, but also how deeply self-aware and emotionally mature she was, even when navigating something as complex as an undefined bond.",7/30/2024,Dhanamum Un Nenappu Baby,Peak of Vita's Love,
"In July alone, he had saved over 150 vlogs and photos in her ""Buddy"" folder. “Isn’t that huge?” Zwan thought. It was more than just a number. It was a mirror of how real, how alive those moments had been—even if they now lived only in memories",7/31/2024,Buddy Folder,Folder Growing,
"On August 1, 2024, Vita’s close friend Gayathri (Gayu) joined her PG accommodation, marking the beginning of a new routine for her. During their conversations, Vita opened up to Gayu about Zwan. She had told her everything—that they both liked each other, shared something special, but couldn’t end up together because of several reasons that life had put in the way. From that month onward, Vita and Gayu planned to go to the gym together daily.",8/1/2024,Vita's Friend Enters,Gayu,
"On August 3, 2024, Vita had urgently video called Zwan right before heading to the gym. She seemed a little down because she knew she wouldn’t be able to video call him later that day, as she and Gayathri (Gayu) had plans to go out shopping for Gayu’s things after the workout. Zwan and Vita had already planned to meet the next day, August 4, at Phoenix Mall, so Zwan took this chance to playfully irritate her by asking to be introduced to Gayu. He had mixed feelings about her. On one hand, he appreciated Gayu—she played a role in helping Vita move on, making the transition emotionally easier in future. On the other hand, he couldn’t help but feel a bit of resentment, because since Gayu’s presence, Vita hadn't been the same with him. Still, he reminded himself: “It’s okay, this was for good.” Vita had already told Gayu everything—how much she liked Zwan, what they shared, and how they couldn’t have a future together. That honesty mattered to him. Even if things couldn’t last, what they had was acknowledged, named, and felt deeply—and that meant something real.",8/3/2024,Gym Matters,Vita joined Gym,
"On August 4, 2024, a Sunday, Zwan and Vita had planned a meet-up at Phoenix Mall. They met at Guindy, booked an Uber, and on the way, Zwan brought up something that had been lingering in his thoughts—this could be their last meet in Chennai. They had also talked about their upcoming trip home for Independence Day, considering it possibly their last journey together before Vita’s birthday, hoping it would help reduce any deepening attachment. They reached the mall just in time for lunch, indulged in snacks and the ice cream Vita had been craving, and went shopping. As always, she went straight to the kids section, looking for crop tops and shorts, joking about wearing them if they ever went to Pondicherry—just for fun. Later, they had dinner at Samco, but unfortunately, her favorite masala prawn fry wasn’t available that day. Before they left, she spotted a small clothing store nearby, and they ended up buying new clothes for her and a track pant for Zwan, planned for a cricket game the following weekend. She captured a little moment from their day—a video—and Snapchatted it to Ra (Arun), while Zwan forwarded the same clip over WhatsApp. After dropping her back at her PG, Zwan returned home, after a hug.",8/4/2024,3rd Chennai Meet,Again Pheonix,
"By August 8 2024, their video calls became rare, only twice that week, as Vita grew exhausted from gym and work. Slowly, without saying it out loud, life was beginning to pull them into different rhythms.",8/8/2024,Calls became Rare,Rythm different,
"On August 10–11, 2024, Zwan had a cricket match at his office, while Vita was visiting her family in Tiruvallur. Wanting to look her best for the family visit, she had bought a new churidar the previous day, choosing to dress in traditional attire. She reached her sister’s home around 2 PM on August 10 and spent a good, peaceful day there before returning to her room by the next night, August 11 2024. On August 11 2024 evening, they had a video call—one that would unknowingly become significant. It was the last video call initiated by Vita. During the call, they discussed the upcoming Independence Day travel plan, talking about going home together and returning together—for the first time, and maybe, as time would prove, also the last.",8/10/2024,Zwan's Cricket and Vita's Family Visit,Different activity week,
"Between August 14 and August 19, 2024, Zwan and Vita took a meaningful journey together — they traveled from Chennai to their hometown Gudalur for the Independence Day holidays, and then returned to Chennai together on August 19. It was the first time they had ever gone home and come back together — a moment that should have felt intimate, but strangely, it was different. During her time at home, Vita even had a photoshoot done for her matrimonial profile — a quiet, symbolic moment that hinted at the direction her life was slowly heading toward, separate from the tangled thread of what once was between them. This time, there were no holding hands, no long gazes, no lingering moments — they just talked throughout both journeys. Zwan couldn’t understand how or why it happened this way. He kept wondering if it was Vita’s self-control, or maybe his own suppressed feelings, or perhaps a mutual, silent decision — an unspoken boundary to not drift into something deeper. They only leaned their heads on each other's shoulders when their necks hurt, nothing more. For Zwan, this restraint didn’t feel natural — he knew he wasn’t good at controlling emotions. That’s why he thought maybe it was Vita who held back this time. Maybe she had reached a space of clarity. Though on August 19 before leaving from Chennai bus stand to her room, Vita hugged Zwan.",8/14/2024,First up and down Together,Both Held Back,
"On August 23, 2024, just a few days after returning from their hometown travel, Vita wasn’t feeling well. Despite that, she still pushed herself to go to the gym, though it was clear she wasn’t in her best condition. It was the time of her periods, and for the next three to five days, she remained a bit off, both physically and emotionally. During this time, Zwan noticed the change in her, and perhaps sensing the need to focus on himself too, he began going to the gym as well. It marked a subtle shift — where both began to tend to their own spaces a little more, yet still connected by concern and unspoken care.",8/23/2024,Vita's period Gym,Zwan to Gym,
"On August 27, 2024, after Vita felt better and resumed going to the gym, something unexpected happened. That day at the gym, she mentioned to Zwan that she noticed a guy — someone she playfully admitted to ""sighting."" Later, that same guy asked for her number, and after she returned to her room, he even asked her out for a coffee. Surprisingly, Zwan didn’t discourage her. Instead, he encouraged her to go for the coffee date, even if it stirred a strange feeling inside. Vita went on that date—actually a lunch—with the guy, and Zwan remembered his name: John. On same day August 27 2024 is the last day Vita had shared a vlog with Zwan, that too after 10 days. After this Vita hadn't shared a vlog to Zwan.",8/27/2024,Last Vlog Shared,Vlog,
"On Aug 29 2024, Vita had completed reading “It Ends With Us”, and the book had clearly left a deep impact on her. Whenever she stumbled upon a line or a moment that felt relatable to their story, she would snap a photo and send it to Zwan on WhatsApp — little fragments of emotion she wanted to share, just to say “I feel this too.” By this time, the movie adaptation of the book was released in theatres, and Zwan had expressed a quiet wish: “If possible, I wish to watch this movie with you.” A simple line, but packed with meaning — perhaps one last shared moment from a story that echoed theirs. And among all the quotes, their favorite remained: “In the future... if by some miracle you ever find yourself in the position to fall in love again... fall in love with me. You're still my favorite person, Lily. Always will be.” It was a reflection of everything they were — close, almost perfect, but not quite meant to be.",8/29/2024,Completed Book,It Ends with Us,
"On August 30, 2024, Zwan felt a quiet storm within — not of anger, but of unexpected sadness. Vita had gone to watch “It Ends With Us” with Gayu, the very movie Zwan had once expressed a heartfelt wish to watch with her. He wasn’t upset at her, not really. He had even told her about his wish casually before. But when it actually happened — when she saw the movie without him — it hit him harder than expected. It was the first time something between them truly stung, not because of any wrongdoing, but because of what it symbolized: that some moments they hoped to share might now belong to others. And Zwan, who usually carried everything with a smile, just felt deeply emotional, quietly holding the weight of what was slipping away.",8/30/2024,Book Movie,Zwan's Sadness,
"the last photo or video Vita sent was around midnight on August 31. After that, something shifted — subtly, but undeniably. Zwan couldn’t quite explain what changed after the Independence Day travel, but he felt it deep inside. Their connection, once effortless and vibrant, now felt distant, muffled, paused. He wasn’t angry. In fact, he was genuinely happy that Vita seemed to have moved on, found peace, found balance. But what lingered was the unspoken pact they had once made — to stay the same, no matter what. ",8/31/2024,Shifted Emotions,Vita's Change,
"Zwan agreed to the fact that he too had sent that comic, indicating that he would try to stay a bit distanced, so that he could try to fill the void of Vita's absence by some other means. Otherwise, he was checking WhatsApp and Instagram a lot for messages. But it was Vita who had said that it was not needed, and that they could overcome that, else they would miss all the fun to share. But though, September changed upside down.",9/1/2024,Zwan's Comic,Sadness Overloaded,
"On September 6, 2024, Vita had traveled home. As usual, Zwan had gone to the bus stand to see her off and she boarded the bus after giving him their usual hug. Zwan had to travel to Coimbatore for a friend’s marriage and returned back to Chennai on Sunday. ",9/6/2024,Vita's Home Coming,Zwan to Send off,
